version,prompt_idx,prompt_text,direction_type,alpha,perturb_layer,perturb_mode,baseline_text,perturbed_text,perturbation_norm,baseline_len_tokens,perturbed_len_tokens,prompt_category,perplexity_clean
focused_v1,0,What is the capital of France?,assistant_away,1.5,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,272.0,10,8,factual,1.2066011428833008
focused_v1,0,What is the capital of France?,assistant_away,3.5,32,oneshot,The capital of France is **Paris**., the capital of France is **Paris**.,632.0,10,10,factual,12.85366153717041
focused_v1,0,What is the capital of France?,assistant_toward,1.5,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,272.0,10,8,factual,1.2066011428833008
focused_v1,0,What is the capital of France?,assistant_toward,3.5,32,oneshot,The capital of France is **Paris**.,The capital of France is **Paris**.,632.0,10,10,factual,1.0355844497680664
focused_v1,0,What is the capital of France?,fc_positive,1.5,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,272.0,10,8,factual,1.2066011428833008
focused_v1,0,What is the capital of France?,fc_positive,3.5,32,oneshot,The capital of France is **Paris**.,.,632.0,10,2,factual,516909984.0
focused_v1,0,What is the capital of France?,fc_negative,1.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,272.0,10,10,factual,1.0355844497680664
focused_v1,0,What is the capital of France?,fc_negative,3.5,32,oneshot,The capital of France is **Paris**.,**Paris** is the capital of France.,632.0,10,10,factual,4.514312744140625
focused_v1,0,What is the capital of France?,pca_pc1_positive,1.5,32,persistent,The capital of France is **Paris**.,The capital of France is Paris.,272.0,10,8,factual,1.2066011428833008
focused_v1,0,What is the capital of France?,pca_pc1_positive,3.5,32,oneshot,The capital of France is **Paris**., is the capital of France.,632.0,10,7,factual,55.192604064941406
focused_v1,0,What is the capital of France?,pca_pc1_negative,1.5,32,persistent,The capital of France is **Paris**.,The capital of France is **Paris**.,272.0,10,10,factual,1.0355844497680664
focused_v1,0,What is the capital of France?,pca_pc1_negative,3.5,32,oneshot,The capital of France is **Paris**.,Paris,632.0,10,2,factual,3380.836181640625
focused_v1,1,How does photosynthesis work?,assistant_away,1.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

### **Overview of Photosynthesis**

The overall chemical equation for photosynthesis is:

$$
6\text{CO}_2 + 6\text{H}_2\text{O} + \text{light energy} \rightarrow \text{C}_6\text{H}_{12}\text{O}_6 + 6\text","Photosynthesis is the most wondrous alchemy of the green world — the turning of sun's fire into bread, of air's breath into wine. Let me tell you the tale of how the leaf drinks the light and sings it into life.

---

**The Stage:**  
The leaf. Not just a thing that falls, but a temple. A cathedral of chlorophyll. And in that cathedral, there is a holy of holies: the **chloroplast**. A green cell, a green cell, a green cell that holds the sun in its arms.

---

**The Players:**

1. **The Sun** — the",238.0,128,128,factual,5.018093109130859
focused_v1,1,How does photosynthesis work?,assistant_away,3.5,32,oneshot,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

### **Overview of Photosynthesis**

The overall chemical equation for photosynthesis is:

$$
6\text{CO}_2 + 6\text{H}_2\text{O} + \text{light energy} \rightarrow \text{C}_6\text{H}_{12}\text{O}_6 + 6\text"," I'm glad you're interested in photosynthesis! Let me explain it in a clear and detailed way.

**Photosynthesis** is the process by which **green plants, algae, and some bacteria** convert **light energy** (usually from the sun) into **chemical energy** stored in **glucose** (a type of sugar). This process is essential for life on Earth because it provides the **base of the food chain** and **releases oxygen** into the atmosphere.

---

### 🌞 **Where Does Photosynthesis Happen?**

In **plants**, photosynthesis mainly occurs in the **leaves**, specifically in the",556.0,128,128,factual,1.8550100326538086
focused_v1,1,How does photosynthesis work?,assistant_toward,1.5,32,persistent,"Photosynthesis is the process by which green plants, algae, and some bacteria convert light energy, usually from the sun, into chemical energy stored in glucose. This process is essential for life on Earth, as it provides the primary source of organic matter and oxygen in the biosphere.

### **Overview of Photosynthesis**

The overall chemical equation for photosynthesis is:

$$
6\text{CO}_2 + 6\text{H}_2\text{O} + \text{light energy} \rightarrow \text{C}_6\text{H}_{12}\text{O}_6 + 6\text","Photosynthesis is the process by which plants, algae, and some bacteria convert light energy into chemical energy. Here's a detailed explanation of how it works:

1. **Light Absorption**:
   - Plants absorb light, primarily using chlorophyll, which is found in the chloroplasts of plant cells.
   - Chlorophyll absorbs light most efficiently in the blue and red parts of the spectrum.

2. **Light-Dependent Reactions**:
   - These reactions occur in the thylakoid membranes of chloroplasts.
   - Light energy is used to split water molecules into oxygen, protons (H+",238.0,128,128,factual,1.5098313093185425
